,date,team1,season,wins_team1,game_number_team1_x,wins_team2,game_number_team2_x,team2,team1_game_id,team2_game_id,ortg_team1,ast%_team1,ts%_team1,efg%_team1,poss_team1,dreb%_team1,oreb%_team1,stl%_team1,blk%_team1,tov%_team1,fg%_team1,3fg%_team1,ft%_team1,win%_team1,homeaway_win%_team1,b2bbreak_win%_team1,travel_win%_team1,ortg_team2,ast%_team2,ts%_team2,efg%_team2,poss_team2,dreb%_team2,oreb%_team2,stl%_team2,blk%_team2,tov%_team2,fg%_team2,3fg%_team2,ft%_team2,win%_team2,homeaway_win%_team2,b2bbreak_win%_team2,travel_win%_team2,win_flag_team1
0,1999-02-05,ATLANTA HAWKS,1999,1,1,0,1,CLEVELAND CAVALIERS,ATLANTA HAWKS-1999-1,CLEVELAND CAVALIERS-1999-1,109.64912280701753,0.48484848484848486,0.556049822064057,0.4788732394366197,91.2,0.6829268292682927,0.2857142857142857,0.0851063829787234,0.0851063829787234,0.1425438596491228,0.4647887323943662,0.2,0.7441860465116279,0.0,0.0,0.0,0.0,88.29787234042553,0.46875,0.4550438596491228,0.4166666666666667,94.0,0.7142857142857143,0.3170731707317073,0.1206140350877193,0.0,0.18085106382978725,0.41025641025641024,0.3333333333333333,0.6,0.0,0.0,0.0,0.0,1
1,1999-02-06,ATLANTA HAWKS,1999,2,2,0,1,NEW JERSEY NETS,ATLANTA HAWKS-1999-2,NEW JERSEY NETS-1999-1,119.35483870967742,0.5,0.6006493506493507,0.4772727272727273,93.0,0.6382978723404256,0.375,0.04073319755600815,0.06109979633401222,0.16129032258064516,0.45454545454545453,0.42857142857142855,0.8,1.0,1.0,0.0,1.0,107.94297352342159,0.3684210526315789,0.4920163386557742,0.42857142857142855,98.2,0.625,0.3617021276595745,0.07526881720430108,0.03225806451612903,0.09164969450101833,0.4175824175824176,0.2222222222222222,0.7368421052631579,0.0,0.0,0.0,0.0,1
2,1999-02-07,ATLANTA HAWKS,1999,2,3,1,2,NEW JERSEY NETS,ATLANTA HAWKS-1999-3,NEW JERSEY NETS-1999-2,75.49234135667395,0.391304347826087,0.3857334525939177,0.3076923076923077,91.4,0.5882352941176471,0.3333333333333333,0.12761020881670534,0.058004640371229696,0.20787746170678337,0.2948717948717949,0.18181818181818182,0.8076923076923077,1.0,0.0,1.0,0.0,91.64733178654292,0.6153846153846154,0.4967303822937626,0.4153846153846154,86.2,0.6666666666666666,0.4117647058823529,0.06564551422319474,0.10940919037199125,0.2552204176334107,0.4,0.25,0.7575757575757576,0.0,0.0,0.0,0.0,0
3,1999-02-09,ATLANTA HAWKS,1999,3,4,1,3,CHICAGO BULLS,ATLANTA HAWKS-1999-4,CHICAGO BULLS-1999-3,101.6355140186916,0.48484848484848486,0.5256162397293378,0.4928571428571429,85.6,0.66,0.36363636363636365,0.10392609699769054,0.08083140877598154,0.1869158878504673,0.4714285714285714,0.42857142857142855,0.6206896551724138,0.6666666666666666,0.0,1.0,0.0,81.98614318706699,0.5625,0.3810648346930013,0.3793103448275862,86.6,0.6363636363636364,0.34,0.09345794392523366,0.07009345794392524,0.12702078521939955,0.367816091954023,0.15384615384615385,0.35714285714285715,0.5,0.0,0.5,0.5,1
4,1999-02-11,ATLANTA HAWKS,1999,4,5,1,5,CHARLOTTE HORNETS,ATLANTA HAWKS-1999-5,CHARLOTTE HORNETS-1999-5,111.35857461024499,0.6153846153846154,0.5371723248818221,0.5,89.8,0.8837209302325582,0.3,0.05241090146750524,0.04192872117400419,0.111358574610245,0.4936708860759494,0.2,0.65625,0.75,1.0,1.0,0.5,92.24318658280922,0.5135135135135135,0.4729148753224419,0.4418604651162791,95.4,0.7,0.11627906976744186,0.0556792873051225,0.066815144766147,0.08385744234800838,0.43023255813953487,0.14285714285714285,0.75,0.25,0.0,0.0,0.0,1
5,1999-02-14,ATLANTA HAWKS,1999,4,6,4,5,PHILADELPHIA 76ERS,ATLANTA HAWKS-1999-6,PHILADELPHIA 76ERS-1999-5,79.54545454545455,0.5769230769230769,0.41273584905660377,0.375,88.0,0.7419354838709677,0.3191489361702128,0.04474272930648769,0.03355704697986577,0.2159090909090909,0.34210526315789475,0.2777777777777778,0.65,0.8,0.5,1.0,0.6666666666666666,87.24832214765101,0.44,0.4897036664992466,0.38636363636363635,89.4,0.6808510638297872,0.25806451612903225,0.13636363636363635,0.07954545454545454,0.21252796420581654,0.3787878787878788,0.1111111111111111,0.8709677419354839,0.75,0.6666666666666666,0.6666666666666666,0.5,0
6,1999-02-16,ATLANTA HAWKS,1999,5,7,1,6,CHICAGO BULLS,ATLANTA HAWKS-1999-7,CHICAGO BULLS-1999-6,100.0,0.4642857142857143,0.48032407407407407,0.4014084507042254,83.0,0.6862745098039216,0.37777777777777777,0.06864988558352403,0.02288329519450801,0.18072289156626506,0.39436619718309857,0.125,0.7428571428571429,0.6666666666666666,0.3333333333333333,0.75,0.5,76.65903890160183,0.7037037037037037,0.3720568636161706,0.3373493975903614,87.4,0.6222222222222222,0.3137254901960784,0.07228915662650602,0.04819277108433735,0.16018306636155605,0.3253012048192771,0.10526315789473684,0.6875,0.2,0.0,0.2,0.0,1
7,1999-02-19,ATLANTA HAWKS,1999,5,8,7,9,ORLANDO MAGIC,ATLANTA HAWKS-1999-8,ORLANDO MAGIC-1999-9,103.0701754385965,0.5405405405405406,0.5047250859106529,0.4879518072289157,91.2,0.75,0.3488372093023256,0.07592190889370933,0.04338394793926247,0.15350877192982457,0.4457831325301205,0.3684210526315789,0.5652173913043478,0.7142857142857143,1.0,0.8,0.6,107.37527114967462,0.6904761904761905,0.5579350766456267,0.536144578313253,92.2,0.6511627906976745,0.25,0.09868421052631579,0.05482456140350877,0.1301518438177874,0.5060240963855421,0.35714285714285715,0.7692307692307693,0.75,0.5,0.8,0.75,0
8,1999-02-20,ATLANTA HAWKS,1999,6,9,4,9,PHILADELPHIA 76ERS,ATLANTA HAWKS-1999-9,PHILADELPHIA 76ERS-1999-9,86.95652173913044,0.6538461538461539,0.4783484390735146,0.4117647058823529,87.4,0.6792452830188679,0.28125,0.10321100917431192,0.08027522935779816,0.20594965675057206,0.38235294117647056,0.5,0.7692307692307693,0.625,0.5,0.5,0.5,79.12844036697247,0.5769230769230769,0.37862159789288846,0.3271604938271605,87.2,0.71875,0.32075471698113206,0.14874141876430205,0.11441647597254004,0.1605504587155963,0.32098765432098764,0.3333333333333333,0.6956521739130435,0.5,0.5,0.5,0.5,1
9,1999-02-22,ATLANTA HAWKS,1999,6,10,2,10,CHICAGO BULLS,ATLANTA HAWKS-1999-10,CHICAGO BULLS-1999-10,78.3410138248848,0.4166666666666667,0.39224734656206733,0.33116883116883117,86.8,0.7647058823529411,0.3125,0.08196721311475409,0.0702576112412178,0.18433179723502305,0.3116883116883117,0.2727272727272727,0.7727272727272727,0.6666666666666666,0.75,0.6666666666666666,0.5714285714285714,90.1639344262295,0.6451612903225806,0.4798105682951147,0.4507042253521127,85.4,0.6875,0.23529411764705882,0.09216589861751152,0.06912442396313365,0.16393442622950818,0.43661971830985913,0.2222222222222222,0.6190476190476191,0.1111111111111111,0.2,0.0,0.16666666666666666,0
